epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4084,2.332,5.70165,1.50982,0,0,0,0,1.6147,4.69049,1.32897,0.00012098,0.00012098,0.00012098
2,45.3443,2.32683,6.11801,1.462,0,0,0,0,1.6147,4.69049,1.32897,0.000222745,0.000222745,0.000222745
3,63.4301,2.23868,5.61749,1.53594,0.02236,0.10195,0.03075,0.01522,1.60368,4.64409,1.27665,0.000299515,0.000299515,0.000299515
4,80.9965,2.19901,5.52381,1.47131,0.02236,0.10195,0.03075,0.01522,1.60368,4.64409,1.27665,0.000351289,0.000351289,0.000351289
5,98.1551,2.15007,5.44252,1.40864,0.02236,0.10195,0.03075,0.01522,1.60368,4.64409,1.27665,0.000317704,0.000317704,0.000317704
6,115.941,1.88185,5.32934,1.33673,0.00469,0.18364,0.03747,0.02159,1.67972,4.4771,1.27179,0.00026563,0.00026563,0.00026563
7,133.428,2.0713,5.77972,1.36255,0.00469,0.18364,0.03747,0.02159,1.67972,4.4771,1.27179,0.000213556,0.000213556,0.000213556
8,150.97,1.92947,5.37948,1.37599,0.82318,0.00714,0.04926,0.02908,1.65313,4.38541,1.28497,0.000161482,0.000161482,0.000161482
9,168.242,1.74541,5.32698,1.14262,0.82318,0.00714,0.04926,0.02908,1.65313,4.38541,1.28497,0.000109408,0.000109408,0.000109408
10,185.777,1.81803,5.31478,1.22074,0.82318,0.00714,0.04926,0.02908,1.65313,4.38541,1.28497,5.7334e-05,5.7334e-05,5.7334e-05
