epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7404,2.46383,6.09574,1.62908,0,0,0,0,1.57115,4.67102,1.28291,0.00012098,0.00012098,0.00012098
2,36.3463,2.29046,6.34119,1.44391,0,0,0,0,1.57115,4.67102,1.28291,0.000244773,0.000244773,0.000244773
3,54.4583,2.0679,5.73551,1.31576,0.011,0.07857,0.0267,0.01337,1.68843,4.62492,1.31557,0.000366065,0.000366065,0.000366065
4,71.9856,2.15531,5.7586,1.3977,0.011,0.07857,0.0267,0.01337,1.68843,4.62492,1.31557,0.000484859,0.000484859,0.000484859
5,89.4533,1.95493,5.35021,1.32062,0.011,0.07857,0.0267,0.01337,1.68843,4.62492,1.31557,0.00050517,0.00050517,0.00050517
6,107.319,1.82886,5.48468,1.18496,0.84492,0.02143,0.04766,0.0183,1.94778,4.41072,1.40026,0.000499963,0.000499963,0.000499963
7,124.784,2.03158,5.26182,1.25016,0.84492,0.02143,0.04766,0.0183,1.94778,4.41072,1.40026,0.000494756,0.000494756,0.000494756
8,142.558,1.81329,5.02337,1.24106,0.83627,0.02857,0.03906,0.0182,1.83336,4.26344,1.41954,0.000489548,0.000489548,0.000489548
9,160.406,1.68656,5.07109,1.19111,0.83627,0.02857,0.03906,0.0182,1.83336,4.26344,1.41954,0.000484341,0.000484341,0.000484341
10,177.975,1.6622,4.99134,1.11031,0.83627,0.02857,0.03906,0.0182,1.83336,4.26344,1.41954,0.000479133,0.000479133,0.000479133
11,196.1,1.77027,4.99438,1.12658,0.84576,0.06429,0.0597,0.03407,1.72983,4.29088,1.42024,0.000473926,0.000473926,0.000473926
12,213.773,1.78717,5.03492,1.17897,0.84576,0.06429,0.0597,0.03407,1.72983,4.29088,1.42024,0.000468719,0.000468719,0.000468719
13,231.357,1.71162,4.73827,1.13744,0.84576,0.06429,0.0597,0.03407,1.72983,4.29088,1.42024,0.000463511,0.000463511,0.000463511
